先手: 近藤 正和六段
後手: 田村 康介六段
手数 1: 近藤といえば中飛車。中飛車といえば近藤。
手数 6: 「中飛車だったら俺もうるさいよ」とばかりに、田村も飛車を中央へ。乱戦必至の相中飛車だ。
手数 14: 申し合わせたような先後同型。
手数 15: このタイミングで金を上がるのは珍しい。よくあるのは▲２八玉から美濃囲いを目指す指し方だが…。
手数 16: ここで両者が道を違えた。１０時４５分頃、消費時間は近藤１５分、田村３分。
手数 17: ５３分考え、中飛車から三間に。近藤はどのような構図を描いているのだろう。
手数 20: ここで昼食休憩。消費時間は近藤１時間１３分、田村２１分分。昼食時の注文は近藤が中華そば。田村はカレーライス。
手数 24: なんともシンプルな田村の構想。相振り飛車でのスズメ刺しは、なかなかお目にかかれない。
手数 25: 急所の筋。次に▲７四歩となれば早くも先手優勢。
手数 26: とにかく玉のコビンを守らなければいけない。
手数 29: ６四の歩が浮いたので、この角打ちが成立した。近藤がうまく立ち回ったか。
手数 36: １４時半過ぎ、消費時間は近藤２時間３３分。田村４１分。
馬と持ち角の勝負。馬を安定させることが出来れば近藤が局面をリードできそうだ。
手数 38: ゆっくりした戦いにしては、馬の威力が倍増してしまう。田村は気風良く中央から動いていった。
手数 41: 瞬間的には心許ない形だが、次に▲４八馬と引き付ければ勇気凛々だ。
手数 47: 使えていなかった銀も働き出した。
手数 49: ついに▲４八馬が実現。なんと心強いことか。
手数 55: 銀冠を目指す。当たりが強くなる意味もあるが、壁銀のまま戦うより数倍良さそうだ。
手数 58: 近藤の主張は馬の存在。田村の主張は持ち角と持ち歩。
１６時過ぎ、消費時間は近藤３時間４３分、田村１時間１５分。
手数 67: 歩がもう一枚あれば▲９三歩なのだが、あいにく一枚しかなく迫力不足か。
手数 88: 全軍躍動。支えきれないと判断した近藤は、ここで駒を投じた。消費時間は近藤４時間４９分、田村１時間３４分。
