先手: 近藤 正和六段
後手: 小林 健二九段
手数 1: 近藤正和六段のプロフィールはこちら。
ｈｔｔｐ：／／ｗｗｗ．ｓｈｏｇｉ．ｏｒ．ｊｐ／ｐｌａｙｅｒ／ｋｉｓｈｉ／ｋｏｎｄｏｕ．ｈｔｍｌ
手数 2: 小林健二九段のプロフィールはこちら。
ｈｔｔｐ：／／ｗｗｗ．ｓｈｏｇｉ．ｏｒ．ｊｐ／ｐｌａｙｅｒ／ｋｉｓｈｉ／ｋｏｂａｙａｓｉ―ｋ．ｈｔｍｌ
手数 3: 近藤の今期成績は０勝１敗（０．０００）、通算成績は２７４勝２２２敗（０．５５２）。
手数 4: 小林健の今期成績は１勝２敗（０．３３３）、通算成績は６２４勝６０８敗（０．５０６）。
手数 5: この２人の対戦成績は、近藤の２勝０敗（１．０００）。
手数 10: 戦型は相振り飛車となった。
手数 14: １０時４５分頃の局面、ここまでの消費時間は▲近藤２３分、△小林健７分。
手数 16: ▲４七金とされて飛車先の歩の交換ができなくなる前に、小林健は仕掛けていった。いきなり大技が飛び出すような手順ではなく、駒組みの一環なのだろう。
手数 24: この局面で近藤が３３分考えて昼食休憩に入った。ここまでの消費時間は▲近藤１時間３６分、△小林健２０分。
手数 25: 昼食休憩を早めに切り上げ盤の前で考えていた近藤。休憩終了後すぐに▲６六歩が着手された。
手数 29: ▲１六歩の着手後、近藤は姿勢を前のめりにして考え込んでいる。
手数 32: １４時頃の局面、ここまでの消費時間は▲近藤１時間５７分、△小林健３７分。
手数 34: 仕掛けの拠点とするためだろうか、小林健は△４四歩と突いていった。将来的に△４五歩として矢倉に絡んでいく含みがある。
手数 38: 矢倉と雁木でお互い堅い陣形。
手数 41: 傷を消していく。じっくりとした展開になりそうだ。
手数 42: △３三桂と跳ねた瞬間は飛車角が使いにくい形になるが、△４五歩から桂馬を捌いていくと飛車角は蘇る。
手数 43: １５時頃の局面、ここまでの消費時間は▲近藤２時間４１分、△小林健４９分。
手数 44: この香上がりが無ければ△１三角と出たときに▲１五歩と反発する手がある、それを緩和させた。△１三角▲１五歩△同歩▲同香に対して△２四角などと出たときに１二の香車に紐が付いている。
手数 45: この歩をのばしていけば、将来玉頭に歩を叩く筋が残せそうだ。
手数 48: 狙いを３筋から４筋へシフトチェンジ。
手数 52: １６時頃の局面、ここまでの消費時間は▲近藤２時間５９分、△小林健１時間２２分。
手数 56: 単に前へ。次に△６五銀とぶつけていく気だろう。
手数 59: １７時頃の局面、ここまでの消費時間は▲近藤３時間３１分、△小林健１時間５０分。
手数 64: この局面で近藤が４５分考えて夕食休憩に入った。ここまでの消費時間は▲４時間３６分、△小林健２時間９分。
手数 65: 近藤は夕食休憩中ずっと盤前で熟考していた。対局再開と同時に歩のタタキを着手。
手数 67: 近藤の指し手が早い。
手数 71: 夕食休憩後、ここまでスムーズに進んでいった。手の広い局面、小林健が少考に入っている。
手数 75: 急所は玉頭。△８五同歩には▲８四歩とたたいて後手玉が危険地帯へと誘われる。
手数 78: ８四の拠点を残したまま、小林健は攻め合いの順を選んだ。
手数 79: △同飛には▲５二銀の割り打ちが残る。
手数 82: ２０時頃の局面、ここまでの消費時間は▲近藤４時間５６分、△２時間３３分。
手数 84: ８三に金や銀を打ち込まれる筋が残るのはいかにも怖い。玉が窮屈だが受けていった。
手数 89: 近藤の玉は守り駒がなく、小林健の玉は身動きが取れない。お互いの玉が危険な位置へと引き寄せられていく。
手数 91: ２１時頃の局面、ここまでの消費時間は▲近藤５時間１０分、△小林健３時間１１分。
手数 99: 小林健はここで投了を告げた。終局時刻は２０時５７分。消費時間は▲近藤５時間１０分、△小林健３時間１３分。
投了図以下、△同香▲同と△同玉▲９三香△同玉▲７五角△９四歩▲９一飛△９二桂▲８五桂までの詰みがある。
