先手: 小倉 久史七段
後手: 佐藤 慎一四段
手数 1: 小倉の今年度成績は５勝６敗（０．４５４５）、通算成績は４５５勝３７１敗（０．５５０８）。
手数 2: 佐藤の今年度成績は５勝７敗（０．４１６７）、通算成績は３９勝４０敗（０．４９３７）。
手数 3: 【小倉久史七段のプロフィール】
ｈｔｔｐ：／／ｗｗｗ．ｓｈｏｇｉ．ｏｒ．ｊｐ／ｐｌａｙｅｒ／ｋｉｓｈｉ／ｏｇｕｒａ．ｈｔｍｌ
手数 4: 【佐藤慎一四段のプロフィール】
ｈｔｔｐ：／／ｗｗｗ．ｓｈｏｇｉ．ｏｒ．ｊｐ／ｐｌａｙｅｒ／ｋｉｓｈｉ／ｓａｔｏ―ｓｈｉｎｉｃｈｉ．ｈｔｍｌ
手数 5: 小倉は得意の先手三間飛車に構えた。
手数 6: 佐藤は３分遅刻し、３倍の９分が初手の消費時間に加算されている。
手数 17: ここでの▲７五歩は非常に珍しい手、この手で１３局あった実戦例が１局になった。その１局はなんと第５６期順位戦Ｂ級１組の▲森けい二九段−△村山聖八段戦である。
手数 18: ▲森−△村山戦では△９四歩だった。ここからは実戦例の無い局面となる。
手数 19: 先手の狙いはこの飛車の転換だった。
手数 21: １１時１０分頃の局面。消費時間は▲小倉１５分、△佐藤４３分。
手数 23: 先手は玉の位置がまだ不安定だが、飛車先の逆襲を目指して突き上げていった。
手数 32: １４時頃の局面。消費時間は▲小倉５６分、△佐藤１時間５８分。
手数 36: １５時頃の局面。消費時間は▲小倉１時間１３分、△佐藤２時間８分。
手数 37: この手は３０手目に後手が△８六歩と突いた時からあるが、このタイミングで決行した。３０手目との違いは、後手が金を引きつけ、自玉が入城したこと、そして端を突き合ったこと。この２点がどちらも自分にとって得だと判断したのだろう。
手数 48: １７時頃の局面。消費時間は▲小倉２時間４７分、△佐藤２時間５９分。
手数 58: この局面で▲小倉が３８分考えて夕食休憩に入った。消費時間は▲小倉３時間３９分、△佐藤３時間１８分。夕食の注文は小倉が親子丼（上）（ほそ島や）、佐藤は無し。
手数 69: ２０時１５分頃の局面。消費時間は▲小倉４時間８分、△佐藤３時間４９分。
手数 72: ２１時１５分頃の局面。消費時間は▲小倉４時間１４分、△佐藤４時間２７分。
手数 82: ここ数手、後手を持った先崎八段の予想が当たっているようだ。「当たるとやばいんじゃないのー？」（先崎八段）継ぎ盤では▲１五歩△同歩▲１三歩△８八歩成▲１二銀が示されている。「端ねー、端ならなんとかしないとなー」（先崎八段）▲１三歩を手抜く変化は後手がわるいようで、次に△同香が調べられている。
手数 106: この手を見てすぐに小倉は投了した。残り時間はまだあるが、９５手目からはノータイムの着手だった。終局時刻は２２時１７分、消費時間は▲小倉４時間４４分、△佐藤５時間１１分。勝った佐藤は２勝１敗、敗れた小倉は１勝２敗となった。
