先手: 小倉 久史七段
後手: 平藤 眞吾六段
手数 1: 小倉は０１年１０月の王位戦以来、通算２５回目の千日手。順位戦では１９９７年１１月の中田功七段戦（当時はふたりとも五段）以来、１１期ぶりになる。
手数 2: 平藤は本局で記念すべき（？）通算２０回目の千日手。
順位戦では第６４期Ｃ１のｖｓ塚田九段戦以来３年ぶりになるが、平藤の千日手と言えば第６３期Ｃ２。１年間１０局の間に千日手を５回経験している。
手数 5: 指し直し局も小倉の三間飛車。
手数 17: またもこの歩を突く。後手の穴熊模様と言い、千日手局と雰囲気が似ている。
手数 25: これで角のラインが通った。後手にとっては非常に怖い形。
手数 27: 角がよく利いていて、△５六同歩とは取れない。
手数 39: △７六歩や△７六角の隙を消した。
手数 40: △３六歩▲同歩に△５五角の狙い。
手数 41: ２１時頃の局面。ここまでの消費時間は▲小倉４時間０分、△平藤３時間５９分。
手数 50: ９九と９七に成る手を見ている。本譜のように角を９八に追っておかないと、▲５九飛で全て受かってしまう。
手数 56: 歩は手元に置いておきたいので金で賄う。先手も６筋から左に駒が偏っているので、バランスは取れている。
手数 62: 突然、金香両取りがかかった。両者早指しの中、▲５八金はエアポケットに入ってしまったか。
手数 71: 先手も香損だが、馬を作れた。
手数 77: 猛烈な攻め合い。
手数 83: ２２時頃の局面。ここまでの消費時間は▲小倉４時間１８分、△平藤４時間２７分。
両者とも指し直し局で４４分ずつしか使っていないことになる。
手数 113: ２２時４５分頃の局面。消費時間は▲小倉４時間２９分、△平藤４時間５５分。
手数 120: この局面で小倉は２分考え、次の手を指さずに投了した。７七銀の質駒や△３六桂もあり、△４七銀以下の詰めろが受けにくい。消費時間は▲小倉４時間３２分、△平藤４時間５８分。両者とも２勝３敗となった。
