先手: 近藤 正和六段
後手: 福崎 文吾九段
手数 1: 【近藤　正和六段（こんどう・まさかず）六段プロフィール】
ｈｔｔｐ：／／ｗｗｗ．ｓｈｏｇｉ．ｏｒ．ｊｐ／ｐｌａｙｅｒ／ｋｉｓｈｉ／ｋｏｎｄｏｕ．ｈｔｍｌ
手数 2: 【福崎　文吾九段（ふくさき・ぶんご）九段プロフィール】
ｈｔｔｐ：／／ｗｗｗ．ｓｈｏｇｉ．ｏｒ．ｊｐ／ｐｌａｙｅｒ／ｋｉｓｈｉ／ｈｕｋｕｓａｋｉ．ｈｔｍｌ
手数 3: 近藤の今年度成績は１０勝６敗（０．６２５）。
通算成績は２９４勝２４０敗（０．５５１）。
手数 4: 福崎の今年度成績は４勝１０敗（０．２８６）。
通算成績は６０４勝６１６敗（０．４９５）。
手数 5: 近藤は中飛車で有名だが、先手では相掛かりも得意にしている。
本局では両刀使いの福崎相手に、中飛車を採用した。
手数 6: 福崎は居飛車振り飛車どちらも指しこなす。ただ定跡形よりも独創的な将棋を目指すことが多い。
手数 7: 前節で連敗を２で止め、再び勝ち越しとなった近藤。後半戦はいずれもベテラン勢との対戦を控えており、順位戦らしいコクのある戦いを迎えることなりそうだ。
手数 8: 前節今期初勝利を挙げた福崎。既に降級点を一つ持っているだけに、さらに白星を重ねて早く圏外へと去っておきたいところだ。
手数 9: ５筋の位をとる。△５四歩から右玉に指されるような順を手堅く消した。
手数 10: １１時頃、△８四歩までの消費時間は、▲近藤２３分、△福崎１９分。
手数 11: 角が浮くので△５四歩が気になるが、▲７七角△５五歩で▲同角で受かっている。
手数 12: 代えて△４二玉なら居飛車対振り飛車の対抗形だが、７筋の歩突きを急いだということは、福崎は右玉を考えているようだ。
手数 14: 角道を止める。どうやら右玉が濃厚になってきた。
手数 15: 位の歩を銀で支える形は、好形であることが多い。本譜はさらに飛車のサポートもあり、何とも強力な形だ。
手数 18: これは美濃囲いを目指したものではなく、△４三銀と中央を厚くしに行った一手だろう。５筋の位をとられ５三銀型には出来なくなったものの、４三銀型の右玉の作戦が予想される。
手数 19: こちらは美濃囲いを目指した銀立ち。ただ発展的に▲４六歩〜▲４七銀〜▲３八金と木村美濃に組み替える順は考えられる。
手数 20: 銀をツノ銀に構え、中央が非常に手厚い形となった。
手数 22: 居玉のまま駒組みを進める。しかし攻め込む前に一旦は玉を囲うだろう。
手数 23: △３五歩の位取りを警戒した。そうなると場合によっては△３二飛と三間飛車に振られる可能性もある。
手数 24: 何気ない歩突きだが、△１三角を作ったもの。実際に指すかどうかは別として、突いておいて損のない歩だ。
手数 25: この局面で福崎が２５分考えて昼食休憩に入った。ここまでの消費時間は▲近藤５５分、△福崎１時間０分。対局は１３時から再開される。
手数 26: 対局再開後、さらに１６分考えた福崎は、３筋に飛車を振った。

１４時頃、△３二飛までの消費時間は、▲近藤５５分、△福崎１時間１９分。
手数 27: ３９分考えて４筋の歩を突いた。
手数 28: 予定通り右に玉を囲う。
手数 29: 後手が右玉にきたので、ここで８筋を戦場にするのが良い感覚のようだ。
手数 32: 一段目に玉を引く。場合によっては△８二飛と振り戻す手もあるだろうか。
手数 34: 含みを持たさずすぐに飛車を８筋に戻した。
手数 35: 代えて▲８八飛と頑張るのは、△４五歩▲同歩△５四歩と角を使われる攻めが気になる。
手数 36: １５時頃、△７二金までの消費時間は、▲近藤１時間５８分、△福崎１時間５６分。
手数 37: 美濃囲いから金矢倉に組み替えに行った。
手数 38: こちらは形だけで見れば木村美濃の構えだが、８二に飛車が居るのが一風変わっている。
手数 39: 矢倉に組み上げた。どこかで▲４七銀と引けば銀矢倉の構えになる。
手数 40: 何とここから棒金の作戦に出るようだ。
手数 41: ８筋からの突撃に備えた。
手数 42: ゴリゴリ金を押し上げていく。飛車先の歩も切れており、かなりの迫力だ。
手数 43: １６時頃、▲５九角までの消費時間は、▲近藤２時間１７分、△福崎２時間３０分。
手数 44: 本格的に棒金の攻めを決行するようだ。
手数 45: 力強く金を立って△７六金を受けた。
手数 46: 一転手を戻す。次に△８一飛と一段飛車に構える構想だろう。
手数 47: ここで先手の方から８筋を触った。△８六同金は▲同金△同飛▲同角で数で負けている。
手数 49: 金を押し戻して４八に角を上がった。以下△９五金には▲８八飛や▲５九角で受け止められる。
手数 50: 桂を攻めに活用する。次は△４五歩▲同歩△４四歩の継ぎ歩が狙いだろうか。ただ瞬間角の働きがなくなるだけに、怖いところでもある。
手数 51: △９五金を消しながら▲９七桂の活用を見せた。
手数 52: 狙いの攻め。代えて△１五歩▲同歩△１七歩は▲同香には△２五桂があるが、▲２六銀で後続がない。
手数 53: 近藤は４筋を相手にせず８筋からの攻め合いを見せた。８筋は相手が手を掛けて攻めてきてくれたところで、その攻めを受けた反動を利用して攻め込む順だけに、かなり気持ちがよいはずだ。近藤的に言えば『ゴキゲン向かい飛車』と言ったところだろうか
手数 54: ８筋の攻めは現状の形のままで受け止めるしかない。攻め合いに出られる態勢を作りに行った。
手数 55: ▲４六同銀は△１三角の活用が気になるところ。近藤は４筋に見向きもせず勝負に出た。
手数 56: 代えて△８三金と引くのは▲８四歩で金が助からない。怖い形だが△８五同金と歩を取った。
手数 57: １７時頃、▲９七桂までの消費時間は、▲近藤２時間４７分、△福崎２時間３８分。
手数 58: 何と福崎は金の下から歩を打った。ここは金桂交換におさめておいて、反撃を狙おうという構想のようだ。
手数 59: 相手の言い分を通す形になるが、現実の金桂交換も大きそうだ。
手数 60: この△８五同桂と取り返す形に福崎は期待したのだろう。
手数 61: ▲８七金なら△７七桂成を阻止できるが、△４四桂で５六の銀が助からない。近藤は▲８六金と出て、この金を攻めに活用した。
手数 62: 代えて△４四桂は▲８五金△同桂▲８四桂△６一玉▲７三金が厳しい。ここは一旦受けに回った。
手数 63: 後手陣はやはり玉頭が急所。次に▲７四歩△同銀▲７五歩△６三銀▲８五金△同歩▲７四桂の攻めを狙った。
手数 64: この局面で近藤が１６分考えて夕食休憩に入った。ここまでの消費時間は▲近藤３時間３７分、△福崎３時間１１分。対局は１９時に再開される。
手数 65: ▲８九飛は△４四桂が厳しい。近藤は銀にひもが付くよう、５八に飛車を逃げた。
手数 66: それでも福崎は４四に桂を打った。
手数 67: △７四同銀と取らせて▲７五金とぶつける狙い。
手数 69: 遊びかけていた金をさばく。
手数 70: 代えて△６三銀は、▲７四歩の垂れ歩が嫌味。
手数 71: 後手陣を少しずつ薄くしていく。先手ペースだろうか。
手数 72: △７四歩では▲６四角と飛車取りに出られる。福崎は手厚く金を打った。
手数 74: ここで眠っていた角を活用した。
手数 75: ７四の金を目掛けて▲７五銀と被せた。
手数 78: 代えて△４九銀も有りそうだったが、▲６四角の切り合いで一手負けと判断しただろうか。
手数 79: 棋士室で検討する畠山七段から、「良さそうな手ですねー」という声が挙がった。
手数 80: ２０時過ぎ、△５四同歩までの消費時間は▲近藤３時間５９分、△福崎３時間３９分。
手数 81: 成桂取りだが、真の狙いは４四の桂を食いちぎることにありそうだ。
手数 83: 角と桂を刺し違えて、後手の攻めを遅らせる。
手数 85: ８三の地点一点狙いの桂が放たれた。
手数 86: ８三の地点を補強しながら△６二玉と逃げ出す順を作った。
手数 87: 近藤は挟撃態勢を狙う。
手数 88: ２１時頃、△７一角までの消費時間は、▲近藤４時間１４分、△福崎４時間１９分。
手数 89: △５三同銀に▲３三金が狙いだが、金が玉から遠ざかるのが気に掛かる。
手数 91: これで駒割りは金桂と角の交換で、先手の駒得となった。
手数 92: 急所の桂を外しに掛かる。
手数 94: 歩を成り捨てて馬を作りに行く。
手数 97: 桂を取りきられる前にひと仕事しに行く。
手数 99: 露骨に金を王手で放り込んだ。
手数 100: 福崎は角で清算する順を選んだ。
手数 103: 今度は▲８三歩は利かさずに金を活用する順を選んだ。
手数 104: 代えて△９五歩は▲４三金△６二銀に▲５三歩のと金作りを気にしただろうか。
手数 106: 小技で金の位置をずらしに掛かる。
手数 107: ここでくさびを放った。
手数 109: 次に▲５四金が狙い。
手数 110: 代えて△６七成桂とすり込む手も有りそうだったが、福崎は桂を外す順を選んだ。
手数 111: 飛車の利きを生かした攻め。
手数 112: 代えて△５四同銀は▲同飛で、飛車が最大限に働き出す。
手数 115: ２２時頃、▲４八飛までの消費時間は、▲近藤４時間３６分、△福崎４時間３５分。
手数 116: ▲８二銀の打ち込みに備えた。
手数 117: 貴重な１歩で飛車頭を叩く。△５二同飛には▲８二歩成△同玉▲６一角が詰めろ飛車取りとなり先手勝勢。
手数 118: ３一に飛車を逃がす。２一や４一だと▲３二角の両取りがあった。
手数 119: 飛車先を通しながら銀を前線に送り出す。
手数 120: ▲４二飛成は許せない。福崎は惜しげもなく自陣に金を投入した。
手数 121: 玉を守る金を狙う。
手数 123: ▲４二銀成と▲８二歩成△同玉▲６二銀成を見た銀打ち。５三金とさせた効果で、上記順のように６二の銀が浮き駒になるケースがある。
手数 124: 飛車筋を変えるべく歩を成り捨てた。
手数 125: 王手で銀をはがす。代えて▲８二歩成△同玉▲６二銀不成は、△４八とで攻め合い負けや入玉を許す可能性が高い。
手数 127: ここでと金を払った。次は▲８二歩成や▲７四歩が楽しみとして残っている。
手数 128: 玉の早逃げ。あわよくば入玉も視野に入れているだろう。
手数 129: 成桂を呼び込みに掛かる。△７七同成桂には▲７五銀と押さえておいてどうか。
手数 130: ここで福崎は攻め合いに出た。
手数 131: 飛車を見捨てて寄せを目指す。
手数 132: わが道を行き合う寄せ合いとなった。

２３時２０分頃の局面。残り時間は▲近藤４５分、△福崎５４分。
手数 133: 先手玉に詰めろがかからないので、２手すきの寄せでよい。
手数 134: 攻防に馬を引き付ける。
手数 135: 後手玉の脱出を阻んだ。
手数 137: ▲６三桂成以下の詰めろ。厳しい一着が入った。
手数 138: 銀の犠打で時間を稼ぐ。
手数 139: 冷静に対応。先手玉に詰めろはこないと見切っている。
手数 140: この手は詰めろになっていないようだ。
手数 141: 近藤は寄せに入った。
手数 143: この局面で福崎の投了となった。投了以下は△７一玉に▲３四歩で次の▲５三角成以下の詰めろが受からず必至。また先手玉に詰みはない。

終了時刻は２３時４２分。消費時間は▲近藤５時間３６分、△福崎５時間１７分。勝った近藤は４勝２敗、敗れた福崎は１勝５敗となった。
