手数1:

手数2:

手数3:

手数4:

手数5:

手数8: 戦型は相掛かりになった。

手数12: 後手から先に歩を交換する。

手数15: 端歩を生かした桂跳ねで△８七歩は▲９七角で大丈夫。△３六飛は▲８二歩がある。歩を取るには、その前に△９四歩の一手が必要だ。

手数21: 飛車先を交換し、手順に３筋の歩を守る。代えて▲２九飛とし、早めに▲３七桂と跳ねた形を生かして一段飛車に構える手も考えられた。

手数24: 後手も浮き飛車に構える。

手数25: 先手も中住まいにした。戦いは先になりそうだ。

手数28: 端を詰めて、ポイントを稼ぐ。後手なのに１筋に２手かけるのは大胆だ。

手数31: 一段飛車に組み直す。

手数32:

手数33: これは棒銀で攻めるつもりか。一段飛車との組み合わせは珍しい。

手数35: シンプルに銀を使う。次は▲２五銀だ。２筋を戦場にすれば、端の２手を無駄にできる。

手数36: 目標になりそうな角を交換した。

手数39:

手数41: 飛車取りで角を据える。△８一飛に▲２五銀からガンガン攻めるようだ。

手数44: 素朴に４筋を突いて、角筋を遮る。

手数45: 銀を交換しにいった。△２四同歩▲同銀△同銀▲同飛△２三歩▲２九飛と進めば、▲４四角が残る。

手数52: ８一の飛車を４筋に回って、▲４四角を受ける。玉飛接近で形は悪くなるものの、後手は次に△６五銀から角を狙ったり、△６四歩から△６三銀と組むのが楽しみだ。対して先手は方針が悩ましく、▲６八銀は△６五銀▲８八角△７六銀と角頭にプレッシャーをかけられてしまう。

手数53: 桂頭に戦線拡大。△６五銀なら▲７四歩△６六銀▲同銀△８五桂▲８六歩だろうか。桂を取りきって、角と銀桂歩の交換に持ち込めれば先手がペースを握れる。

手数57: 銀を逃げながら、角の逃げ道を広げる。

手数58: 桂頭に手をつける。▲２六飛なら△３六歩▲同飛△５四角▲２六飛△３六歩だろうか。△５四角が攻防手で、３二の金にヒモをつけている。

手数59: ３筋ではなく７筋で歩切れを解消した。

手数62: 桂を取りにいく。先手は７筋、後手は３筋の拠点が主張で、ともに右桂を跳ねて相手玉の逃げ道を狭めている。

手数63: 手番を生かして、はがしにいった。

手数64:

手数66: ▲７四歩△７二金▲７三銀は、△７一金で重い。

手数67: 銀を重ねて打った。△７四同金に▲同銀が桂取りになるものの、△３七銀と△２五歩が残っていることを考えると後手優勢だろう。先手は６筋の桂を取らないと左辺に玉の逃げ道を広げられないため、なかなか玉が安全にならない。

手数70: ▲４九金は△３八銀打でまずい。

手数78: うまい組み立てだ。このままだと△３八金の王手飛車だし、▲３七同玉は△２五歩▲同飛△５九角▲４八銀△３三桂で困る。以下▲２九飛と逃げると、△２五桂打から詰む。

手数79: ▲７九飛ではつらい。後手が順調にリードを拡大している。

手数82: △３七銀▲同玉△２六角からの詰めろになっている。

手数83: △４五桂が厳しい。詰めろで、取られる寸前の６筋の桂とも連係している。

手数84: 後手は△３七歩から寄せに入った。

手数86: なるほど、歩頭の桂がきれいな決め手か。▲４六同歩は△４七銀▲同玉△３八角▲３七玉△４七金▲２八玉△３七銀▲１八玉に△１六歩で受けがない。以下▲同歩だと△１七歩▲同玉△２六銀成▲同歩△１六角成からの詰み。

手数90: △３七角からの詰めろ。

手数92: 飛車取りで挟撃態勢を築けば、先手はもう受けがない。

