手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は互いに飛車先を突き越しての角換わりに決まった。

手数18: 腰掛け銀模様の▲４六歩に後手は△７四歩と応じ、棒銀や早繰り銀の含みを見せた。

手数22: △７三銀もあるところだったが、７三には桂を進んだ。これは相腰掛け銀の将棋に落ち着きそうな雰囲気だ。

手数23: 先手も居玉を解消。玉が５九にいたままでは、△７五歩▲同歩△６五桂▲６六銀△８六歩▲同歩△同飛▲８八歩△６六飛▲同歩△５七桂成といった筋の速攻を仕掛けられる恐れがあった。

手数26: 先後で同じ形に。

手数28: 先手の▲２九飛に、後手は△８一飛を保留して１筋を打診。

手数29: すぐにあいさつした。

手数31: 互いに右金を真っ直ぐに立つ。２九飛と４八金の組み合わせは、それぞれが相手の死角をカバーする好形だ。

手数32: ６筋の位を取った。

手数34: ▲９六歩に、△９四歩と応じる。代えて△８一飛から▲９五歩△６四角といった進行もあっただろう。

手数35:

手数36: 後手も一段飛車に構えて待機する。

手数37: 後手の６筋の位に反発していった。

手数38: すぐに△６六同歩が指された。

手数40: 右銀を戦線に参加させる。

手数41: 銀をぶつけていった。対して（１）△４五同銀は▲同桂△４四銀▲６三歩、（２）△６五銀は▲同銀△同桂▲６六歩で、いずれも先手がよさそう。後手は（３）△６三銀と引くことになるか。

手数42:

手数43: ２枚目の桂も跳ねる。これが先手用意の手のようだ。

手数44:

手数46: ４五の銀をどかしてから、桂頭攻めに出た。（１）▲３五同歩は△３六歩だ。（２）▲２六飛も△３六歩▲同飛△２七角▲２六飛△５四角成で、後手は馬を作れる。

手数47: 盤上に角を投入。△３六歩に▲同角が、次の▲６三角成△同金▲７二銀を見た手になる。

手数48: 堂々と歩を取り込む。先手の角のラインはうまくいなせると見たようだ。

手数50: ▲６三角成を防ぎつつ、駒を前に。

手数51: 本局２回目の銀ぶつけ。後手は今度は銀をかわすことができないし、放置しても▲５四銀△同歩▲同角がうるさい。どのようにバランスを取るか。

手数52: ３六角の脅威をかわしつつ、間接的に先手玉をにらむ位置に飛車を回った。現局面から▲５四銀△同歩▲同角には△５三金で戦うつもりだろう。

手数53: ６一飛の威力を緩和しつつ、自身の攻め駒を増やした。

手数54: 腹をくくって銀を取る。代えて△７五歩の桂頭攻めも有力そうに見えるところだった。

手数55: 先手からは、次に▲７二銀が厳しい手になる。

手数56: 先手の攻めの要になっている角に働きかける。角を逃げれば△３六歩だ。

