手数1: 先手は▲２六歩と飛車先の歩を突いた。

手数2: 後手は２手目に角道を開ける。となると本局は相居飛車戦か、先手が居飛車の対抗形になることが予想される。

手数3:

手数4:

手数5: 飛車先を決めずに４八に銀を上がった。

手数6: ここで飛車先の歩を突く。後手は雁木のような作戦を考えていそうだ。

手数7:

手数8:

手数9:

手数10:

手数11:

手数12: 右金を５二に上がる。雁木ではなく４三金型を作りにいくつもりかもしれない。

手数13: 銀を繰り出して急戦を目指した。

手数14: ４三に金を上がる。４四の歩に金のひもがついたことで、このあと△５四歩〜△４二角として△８六歩を狙うことが可能だ。ただしここで先手から▲５六歩〜▲６八角で先にその筋を狙われる可能性もある。

手数15: ここで居玉を解消した。

手数16: ３二に金を上がる。３一の銀は２二と４二のどちらに上がるつもりか。

手数17: さらに玉を移動。７八銀・６八玉型で指されることも多いが、本局は後手が攻めに比重を置いておらず、７八玉型で戦っても反動が厳しくないと見たのかもしれない。

手数18: ５筋を突く。これで△４二角と引いて８筋の歩交換に出る手が権利になった。

手数19: ８八に銀を上がった。ただし△４二角に▲６八角は△８六歩で間に合っていない。△４二角を誘って何か秘めている構想がありそうだ。

手数20: 誘いに乗って４二に角を引いた。このあたりは早くも駆け引きが繰り広げられている。

手数21: ５筋を突いた。これはどういった構想を見ているか。▲４六銀〜▲５八飛だと２筋を伸ばした２手が無駄手になる可能性があるほか、角交換になった際に△２七角の打ち込みが残る。

手数22: △８六歩はいったん見送り、２二に銀を上がった。△３三銀と上がってから△８六歩といけば、後に先手に▲２四歩から飛車先の歩交換を与えずに済む。

手数23: 攻めを催促するなら▲６八角と引いて△８六歩を急かすような手が考えられたが、これは攻め合いの方針かもしれない。

手数24: ３三に銀を上がって角が移動した際の▲２四歩を拒んだ。

手数25: ここで先手が５筋から動いていく。２０手目の△４二角は先手が誘った手を後手が乗ったものだったが、この▲５五歩も後手の誘いに先手が乗った形だ。

手数26: 後手は△５五同歩と応じた。

手数27: ５筋に飛車を転回。２筋の２手が生きない可能性もあるが、矢倉に組ませたことで元は取れているの判断か。また、角交換後に△２七角が生じているが、それまでに攻め立てて間に合わせないつもりだろう。

手数28: 飛車を５筋に回り返した。

手数29: 右桂を活用して手を渡した。

手数30: 後手は利きのない３五に歩を突き出していった。後手も動いていった。▲３五同歩は△３六歩があるので▲３五同銀だが、そこで△６四角▲４六銀に△５四金のような構想だろうか。

手数31: 銀で応じた。

手数32: ▲５五銀をなくしておいて６四に角を飛び出す。後手としては５筋の突き捨てを逆用して安定させておいてから、玉を囲いに移したい。

手数33: ４六に銀を戻して▲５五銀を見せた。

手数34: 金を繰り出して５五の地点を支える。

手数35: ６八に角を引いた。▲７七銀〜▲６六銀と繰り出して２枚銀の形を目指すのだろう。

