手数1:

手数2:

手数3:

手数4:

手数15: 戦型は横歩取りに進んだ。

手数17: 飛車を３四に置いたまま▲６八玉と上がるのは、ある棋士が指し始めた形だ。玉を戦場から遠ざけて２〜３筋から速攻をかける含みのある駒組みで、序盤から激しい変化に進みやすい。

手数21: ▲３六歩〜▲３七桂と、どんどん攻撃態勢を整える。

手数24: 後手は中原囲いに組んだ。４一玉型が３二金にヒモをつけているので、▲４五桂の急襲への備えになっている。

手数25:

手数27:

手数28:

手数29: 先手は囲いの発展性にとぼしいので、基本的には早い動きを目指すことになる。先手はどんな構想を立てたのか。

手数30: 後手は桂を端から使った。ただ、次にいきなり△８五桂と跳ねても手にはなりそうもない。攻めの態勢を整えつつ、間合いを計った意味か。

手数31: 先手はここで角交換に出た。

手数33: 角を打って、相手からの△４四角を消した。次に▲２三歩△同金▲２四歩や▲２五桂△同桂▲同飛のような狙いがある。

手数34: △２三歩で自陣の弱点を消した。

手数35: ９筋を狙う動きを見せた。６六の角を生かして９三桂を攻める狙い。

手数36: 狙いとしてはずっとあった角打ちをここで。攻め合いになりそうだ。

手数38: 攻めの目標にされそうな飛車をさばいて勝負に出た。▲８五同飛△同桂に▲２九飛が見えている。後手は角を切るしかなさそうだが、そこから攻めが続くかどうか。

手数41: ▲２九飛は受けで勝つ手で、攻め将棋の棋風ではないため、この手を選択したということは、相当いいと見ているのかもしれない。

手数42: 後手はすぐに角を切った。

手数44: じっと歩を取って手を渡した。△９六歩から△９七歩成がわかりやすい狙いだ。

手数45: 銀を引いて乱れた形を引き締めた。渋い手だ。

手数47: 落ち着いて受けた。先手は▲３五歩〜▲３四歩の攻めを狙っているのだろう。▲４八銀と引いたのは、▲３五歩と伸ばしたときに△３六歩のたたきを未然に受けた意味だろう。

手数48: 角取りに桂を設置。▲８六歩の桂取りを受けた意味もありそうだ。△７四桂は嫌みな手だ。▲７五角なら△９七歩成▲同歩△９八歩▲同香△９九飛という狙いがある。

手数49: ▲７五角はやはり△９八歩成からの攻めが嫌みだったようだ。先手は角を引いて辛抱した。

手数50: ▲８八角に対しても９筋を成り捨てた。▲９七同歩なら△８六歩▲同歩△同桂▲８七金△９八歩の攻めが考えられる。

手数51: 先手は▲９七同桂を選択。

手数54: ▲２九飛と打ったところは先手が優勢に見えたが、現局面は後手の攻めが続きそうで逆転しているかもしれない。

手数55: 先手は▲９八同香と応じた。

手数57: ▲８六同歩は△同桂で後手の攻めが調子づく。先手は手抜きで攻め合いを目指した。ただ、▲３五歩〜▲３四歩を狙っていたところに▲３五香と打つのでは流れが悪い。先手が苦戦気味か。

手数60: ▲９六金は△８七歩成が厳しい。駒損は避けられないが、どう対応するか。

手数61: 角を切って勝負に出た。

手数63: ▲３三香成としても後手玉を寄せるのは難しかったようだ。先手はいったん金をかわした。

手数64: △８七桂や△７七角が見えていたが、後手の指し手は逆方向に伸びた。▲３七同銀なら△４七角が狙いと思われる。以下、飛車が逃げれば△６九飛が狙い筋だ。

手数65: 先手は両取りを放置して攻め合いに出た。

手数66: 後手は金のほうを取る。△２九桂成は駒がそっぽだ。

手数67: 先手陣は玉飛接近で、飛車と銀の位置関係も悪形。苦しい局面だ。

手数68: 後手陣は▲３三香成とされてもまだ詰めろにならない。一気に勝負を決めにいけるか。

