手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は先手居飛車、後手三間飛車の対抗形。

手数26: 現代の後手三間飛車の基本形のひとつ。

手数27: 本譜は穴熊を目指している。

手数28:

手数29: △３六歩▲同歩△同飛▲３七歩△３四飛には、▲４六銀〜▲６八角〜▲３五銀と飛車を圧迫する手段がある。

手数30: 前述の手順のように、先手の銀が４六に出てきた場合に△４五歩と反発できるようにした。

手数31: 後手に隙ありと判断。序盤から動いていく。

手数35: 次は▲４六銀△同銀▲同歩や▲５六銀△同銀▲同飛をみているか。銀を持てば▲４一銀の狙いもできる。

手数36:

手数38: △１五角▲１六飛△１四歩は部分的な手筋。先手の飛車の形を少し悪くさせた。△１五角に代えて△３四飛は、▲２四歩△同歩（端角を消す突き捨て）▲４六銀があったかもしれない。以下△４六同銀▲同飛は、次に▲４四飛△同飛▲同角の狙いがある。

手数39: 先手は足を止めずに攻める。

手数40: 浮いていた４四歩や５四歩を支えた。▲４一銀のキズも消している。

手数41: もう穴熊を目指す展開ではない。上部や側面に強い形にした。

手数43: 歩で応じれば▲４五歩が楽しみだ。△２七銀は▲１五飛△同歩で銀が空振りに終わる。

手数44: ▲４五歩に△同歩を用意。また、△１五銀の先手にもなっている。

手数46: いきなり放り込んできた。▲７九金には△５八銀成で△６八成銀を権利にしておくのか。いつでも守り駒を１枚はがせるのは実戦的に大きい。

手数49: 好機に銀交換をされるのは嫌だと、早々に△６八成銀を催促した。

手数51: ▲６八同金引との比較は難しそうだったが、上部の厚みを考えれば本譜だったか。いずれにしても、先手には▲３四銀△同金▲４三銀の狙い筋ができた。後手は対応が必要だ。

手数52: ▲３四銀△同金▲４三銀△３一飛▲３四銀成△３七歩成▲同桂△１五角は後手よし。

手数53: ▲３六同歩は△４五歩から角をさばかれそうだった。先手も飛車をさばきやすくするために２筋の突き捨てを入れる。

手数54: △４五歩の含みを放棄して角で応じた。▲３六歩に（１）△４六角は▲２三飛成で先手がよいが、（２）△３六同飛▲３七歩△４六飛は後手がよい。したがって▲３七歩では▲３七銀と、少し高い投資が必要になる。

手数57: 勝負どころの雰囲気がある。

手数58: 狭い場所に収納。２四角が動いたあとの▲２三飛成を受けている。たとえば▲３六歩から▲４五銀には△１三角と逃げられる。

手数60: 対抗形で頻出する小技。

手数63: △３六銀成▲同銀△同飛▲３七銀△３三飛▲３六歩△３八歩……と続けば千日手だ。

手数64: 千日手にしなかった。△３九歩成と△３八とが入れば後手がよくなる。その間に先手は攻めるか、４七銀に働きかける必要がある。

手数65: ３九に利かす手がまだあった。

手数69: ▲３七銀ではなく、少し受け方を変えてきた。このあと首尾よく▲３八飛が実現すればうまい。

手数70: これまでと同じように△３三飛は▲３四歩があった。以下△３四同飛は▲２五銀、△３四同金は▲３八飛だ。先手は持ち歩が１枚なので△３二飛に歩の連打はできない。

手数71: △３二飛だったので従来の狙い筋に戻す。▲３六歩から▲３五銀で角が逃げれば▲２三飛成だ。

手数72: 先手の６六角は攻防に利いている。▲３九同角と取らせれば働きは弱まる。

手数74: ▲４五同歩は△４六歩が刺さる。▲３五銀には△３三角が王手だ。互いに技を掛け合い、バランスを保っている。

手数80: さっぱりと清算した。（１）▲３七銀△５五角▲７七角△３七角成▲同桂△同飛成▲２三飛成と進めば終盤戦だ。（２）▲３七銀打なら先は長そうだが、手駒の戦力に差がつく。

手数81:

手数82: △５五角の決戦は避けた。飛車を引いても△３六歩の厳しい狙いがある。

手数83: ▲３六歩では受け一方になりかねなかった。

手数85: こういった手筋は覚えておきたい。△３六歩▲４六銀△３七銀▲同桂△同歩成と無理に攻めると▲６二銀のしっぺ返しがくる。

手数86: 拠点の歩は残せなかった。これで後手陣が乱れた。

手数87: ８３手目▲６四歩に代えて▲２二角では、△５五角から強く戦われて後手がよさそうだった。乱れた形での斬り合いは、後手にもリスクがある。

手数89: ▲６六銀は喜んで△３七角成と切られたかもしれない。▲７七銀のほうが守りが堅い。

手数90: 先手が角に当ててこなかったので△３六歩も考えられた。本譜は▲３七同桂に△同飛成と手順に逃げるつもり。

手数92: 後手は豊富な手駒が武器。

手数93: 先手は後手陣の不安定さを突ける。十分に戦えそうな形だ。

手数95: このあと▲１一角成△３三桂▲２二馬のような展開は先手ペースになりそうだ。

手数99: ▲３一角成は１一の香取りを捨て、自陣への角の利きも消している。浮かびづらい手だ。現状は駒取りにもなっていない。△４七歩成にどう攻めるのか。△４七歩成▲４四歩△３三金▲３四歩は△同竜と取られてしまう。

手数100:

手数102: ここで何を用意しているのか。▲２五角や▲１六角が竜に当たればピッタリなのだが、３七竜は目標にしづらい。

手数103: 金を動かしたことを利用して角を打つ。▲６四角成△同銀▲同馬が実現すれば３七の竜取りにもなる。ならば後手は竜を動かしておくべきか。

手数104: これで▲６四角成は竜に当たらない。

手数106: 次は△６七銀や△６七桂成の寄せがある。

手数108: 先手が苦しくなってきたか。

手数109: 粘り強い。

手数110: 後手も守備を固めた。これでリードを維持できているか。

手数111: △５八とから先逃げした意味か。▲６八歩が入れば守りも強化される。

手数113: このままだと３一馬が使えた分だけ先手が得。▲６一銀とされると嫌な形だ。後手の継続手は何か。

手数114: 後手はこの手に期待した。

手数118: 大熱戦。

手数123: 次は▲７二銀成△同銀▲６二金と食いついていく。後手玉を上部に追い込むような展開になれば▲７五竜で詰ましやすい。△７一金にも▲６二金で押していく。

手数124: 後手に銀があれば△６九角▲８八玉△７八銀の手筋がある。

手数125: その銀を渡すのだから強い踏み込みだ。

手数127: △６九角▲８八玉△７八銀を決めれば決着に近づく。ただ、どちらが勝ちとも断言はできない。

手数128: 決着はまだ先だ。

手数130: 次は△６五香。▲６四竜も△６三香▲５四竜△６七歩がうるさい。形勢としては後手がよさそうだ。

