手数1:

手数2:

手数3:

手数4:

手数5: 先手は中飛車に構えた。

手数13: 振り飛車から角を交換した。△２二同銀で手損になるものの、▲８八銀と上がれば次に５筋を交換できる。

手数19: △４四銀の前に、５筋を交換しにいく。

手数28: ５筋を受けないと▲５四歩が怖いようだが、△５二飛で大丈夫。以下▲５三角なら△４三金から拠点を払えばよい。

手数30:

手数32: 玉頭の模様を広げる。コビン攻めは美濃囲いの急所のひとつだ。

手数35:

手数36: ７筋を突かれ、先手は左銀を動かしにくくなった。▲５五銀だと△７五歩から桂を狙われる。

手数37: ４筋に位を取られないようにした。バランスを考えると、先手は木村美濃にするのだろうか。

手数39: 大胆な手が出た。▲５六角の直接的な狙いは▲３四角△同金▲５三飛成だが、△５二金と先に受ければ▲５四歩から押していくのが真の狙いだろう。△５四同銀は▲３四角△同金▲５四飛なので、後手は５筋の歩を取れない。しかし、５筋に拠点が残るなら、▲５五銀〜▲６六歩〜▲６五歩△同歩▲同桂のような攻めが生まれる。飛車の利きを自ら遮る位置に角を打ち、じわじわと力をためていくのは珍しい。

手数40: 玉を立ち、▲３四角に△同玉を用意した。

手数41: 木村美濃に組み替えて、中央の厚みを増すつもりだ。３筋を交換して▲３七桂とすれば、桂を攻めに使いやすい。

手数44: このタイミングで５筋を受ける。先手は大駒をどう使うかが課題で、持久戦になっては盤上の角が負担になりやすい。

手数45: いきなりばっさりいった。△３四同金には▲５五歩△同歩▲同銀から手にするのだろう。△３四同玉には▲２二銀と打ってしまうのか。以下△３三桂▲１一銀成は、後手玉が中段にいて不安定だ。

手数47: 薄くなった５筋に歩を合わせる。△４三金▲５四歩△同銀▲５五銀△同銀▲同飛と進むと、▲５一飛成と▲８五飛のぶっつけが受けにくい。

手数48:

手数49: 飛車で取り返す。▲５四歩と▲８五飛のぶっつけで勝負するつもりだ。飛車交換になれば、▲３一飛が厳しい。

手数50: ▲８五飛を消す。駒損の先手は忙しい。

手数51: ▲５三歩成をどう受けるか。△４三玉は強い受けだが、▲７五歩△５四銀▲５九飛で５筋と桂頭を絡められそう。△３一角はあるかもしれない。これなら▲５三銀と打たれても空振りにしやすいし、△４三金から△５四銀と歩を払える。

手数52: 先手は５筋だけでは攻めきれないので、▲７五歩や▲３六歩と戦線拡大したい。▲３六歩△同歩に、▲同銀だと△６九角が痛打なので、▲３五銀△同金▲同飛△３四銀▲５五飛と金銀交換で力をためることになる。もう少し先手が欲張るなら、▲３六歩△同歩▲７五歩△同歩▲３五銀△同金▲同飛△３四銀▲７五飛△７四歩▲５五飛。これなら金銀交換をしながら歩を手持ちにしているので、先手の攻め筋が広がっている。

手数55: 堂々の▲３六同銀。△６九角の両取りに▲３五銀で先手も戦えるか。△同金▲同飛△３四歩に▲６八金が角取りで、以下△８七角成▲５五飛なら金を取られないので難しい。ちなみに▲２五銀打は、△同金▲同銀が▲３五飛の先手になるものの、▲２五同銀に△１三角がぴったりになりそうか。

手数56: 先手の誘いに乗った。△６九角に代えて、穏やかに△２二玉もあった。

手数57: ▲２五銀打で絡んだ。△７八角成は▲３四銀△同玉▲３五飛で後手がまずい。

手数58:

手数60: 角を急所に使いながら、▲３五飛を防ぐ。

手数61: △４六角を受けて踏ん張った。金を使ってしまったが、▲５三歩成が実現すれば補充できる。

手数62: ▲５三歩成を受けず、強く金を取った。

手数63: 瞬間的には先手の角損だが、金か銀は取り返せる。

手数68: 銀取り。▲５七金なら△７六馬が飛車に当たる。▲５五銀は飛車が狭くなり、△５三銀が打ちやすい。

手数69: 振り飛車の駒は左辺に桂香しか残っていない。このまま先手が攻めきれば、豪快にさばいた快勝譜となる。

手数70: 後手は攻められ続けているが、大駒が存分に働いているので楽しみが多い。

手数73: △４二玉には▲４四飛△４三歩▲６四飛から飛車成りを狙う。△３四同馬▲同銀△同玉は、▲７一角が厳しい。

手数77: 馬取りなので、飛車は敵陣に侵入できる。

手数80: 飛車をぶつけた。後手は手駒をたくわえて、△４九銀から一気に先手玉を寄せるのが理想の展開のひとつ。

手数82: 先手は足を止めると終わってしまうので、手番を握って攻め続けたい。

手数86: ▲６二飛は△５三玉で受かる。

手数87: △６九飛が攻防手に見えるが、▲６二飛成から追い込まれる。

手数88: 力強い受け。

手数89: △４三同玉は▲６四飛成。

手数91: △６五玉は▲５六竜までの詰み。

手数93: △４四玉は▲４五歩から詰み。しかし、△３二玉は▲５二竜で寄っている。

手数95: △４二歩は▲４三銀成からの詰み。

手数96: ▲４三銀成とされたら△３三馬しかないが、▲同成銀△同桂▲４二角で一手一手の寄りになる。

手数97: この局面で後手が投了した。△３三馬は▲同成銀△同桂▲４二角から受けがなくなる。

