手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は互いに飛車先を突き越しての角換わりに決まった。

手数13: 後手が手を止めた。ほぼ（１）△６二銀と（２）△３三銀の二択といってよい局面でどちらも一局のはずだが、（１）△６二銀以下▲１六歩に後手が△１四歩と応じた場合、先手が▲２四歩△同歩▲同飛と果敢に動いていく将棋も指されているので、その辺りを警戒しているのかもしれない（▲１六歩を突いてあると先手は右桂が楽なので、▲３四飛と横歩を取りやすい）。

手数14: 右銀を７二に。後手の真意は不明だが、代えて△６二銀と比べると、前手で記したような急戦順になった場合、後手玉が広いということはいえるか。

手数15: 先手は▲３六歩。

手数16: ここも△３三銀は保留し、堂々と△６四歩と突く。先手に▲２四歩△同歩▲同飛△３三角▲３四飛と踏み込んでこられても戦えると見ているようだ。

手数17: 先手は右銀を使っていく。

手数20: 出だしから微妙な駆け引きがあったが、先手早繰り銀対後手腰掛け銀のオーソドックスな形に落ち着きそうだ。

手数23: 玉を７九に移動。代えて▲７八玉から▲６八金という囲い方もあるところだった。

手数24: 先手の早繰り銀に圧力を掛ける歩突き。

手数25: △４五歩を突かれる前に、駒をぶつけていく。

手数26: ▲３四歩の取り込みに△３四同銀右を用意した柔らかい銀引きで対応する。代えて△４五歩から▲３四歩△同銀▲３七銀という進行も一局だった。

手数29: ６四の歩を狙って、右銀を前進した。後手は６四歩を守るなら（１）△６二飛で、その場合の先手はどこかで▲１八角と据える筋を見ることになりそう。歩損を恐れずに（２）△５二金もある。

手数30: ６四歩は守らずに、居玉を解消した。

手数31: ▲６四銀はひとまず見送って、自陣を引き締める。▲６四銀に△６二飛と回られる手を気にしたのかもしれない。

手数32:

手数33: ここで▲６四銀を決行。現局面からは、△６二飛▲７五銀△３六歩が進行の一例だ。

手数34: ７筋の歩を突き、△６二飛と回ったときに▲７五銀と引かれる手を消した。

手数35: 飛車を浮く。これは△６二飛に▲６六飛を用意した意味だろうか。▲６六飛の局面は、次に先手から▲５三銀成△同玉▲７一角という筋がある。

