手数1:

手数2:

手数3:

手数4:

手数6: 四間飛車に構えた。

手数11: ９筋を突き合う。

手数18: 後手は藤井システム模様。

手数19: ▲６六角は▲７七桂から▲８九玉のトーチカを目指す手。

手数25: 金を寄せていく。さらに▲８九玉〜▲７九金〜▲７八金寄〜▲５九銀〜▲６八銀まで進めば、金銀４枚の囲いが完成する。

手数26: 角交換を挑んだ。▲５七角と引けば４筋交換も防ぐことができるが、後に△５四歩から中央の動きを狙われたときに角が目標になりやすい。

手数27: 銀で４筋を守る。先手は角交換を避けなかった。

手数30: 後手は先手を手詰まりに追い込めれば、千日手に誘導しやすい。角を持ち合っているので、お互いに駒組みに神経を使う。

手数35: 銀冠に組み替えるようだ。

手数44: 後手が仕掛けた。▲１五同歩に△３五歩▲同歩△１五香▲同香△３六歩は、部分的に手筋である。

手数50: ▲３九香なら△１七角と攻める。

手数51: 先手は▲１一香成の楽しみが残っている。

手数59: ▲２一成香から▲３三歩成が実現すれば、先手優勢がはっきりする。

手数61: ▲３三歩成の先手。△３六歩と押さえると、▲２七飛や▲１七飛と揺さぶられる。▲１七飛には△１五桂と打つしかないが、▲２九香（△２六馬の備え）△１四馬▲１六歩ぐらいでも困りそうか。

手数62: ▲３三歩成が当たらないように飛車を逃げた。

手数63: △１三同飛に▲２二角が両取りになる。

手数67: 先手が銀香得で優勢になった。

手数69: 飛車にヒモをつける。△３六歩に▲同飛だけでなく、▲３八飛と当て返す手ができた。

手数75: ▲３三歩成〜▲４三と〜▲３一飛成を防ぎにくく、駒損の後手は攻め合いも望めない。

