手数1:

手数2:

手数3:

手数4:

手数6: 戦型は後手の三間飛車に。

手数19: 先手は一直線に穴熊を目指した。

手数22: △６五銀を見せて先手の応じ方を問う。

手数23: 先手は銀を上がって△６五銀を防いだ。

手数24: △３五歩と突いた。

手数26: 後手は美濃囲いに。

手数30: 角を引いて飛車の利きを通した。

手数31:

手数36: 互いに浮き飛車にチェンジ。

手数38: 石田流に組み替える。

手数39: 先手は穴熊をしっかり固めた。

手数40:

手数41:

手数42: △４五歩で角道が通った。機を見て△３六歩が仕掛けの手段になる。

手数43: がっちり穴熊をまとめた。

手数44: 角の位置取りを変えて間合いを計った。

手数45: ▲８六歩は間合いを計りつつ、▲８七銀と立って穴熊を盛り上げる狙いも含んでいそうだ。

手数46: △３六歩で開戦に踏み切った。

手数50: 早速飛車を打ち込んだ。これで桂香を取れそうだ。一方で、穴熊の堅陣を誇る先手としても、このさばきあいなら戦える自信はあるだろう。

手数51: 先手も飛車を打ち返した。

手数53: 香を取らず、桂を取りにいった。

手数54: 桂を逃がした。

手数55: 桂を跳ねさせておいて穴熊を組み替えた。△１九竜なら▲２五竜と桂を取れる。

手数56: 竜にヒモをつけながら桂を逃がした。

手数59: 成桂に当てながら飛車を下ろし直した。

手数60: 後手は桂香得に。

手数61: 香を取り返して駒割りは先手の桂損になった。飛車を下ろしたあと、単に桂香と香を取り合った図と似ているが、後手は自陣の桂を先手陣まで逃がしている。その代わりに、飛車は手持ちになっていて、これは改めて打ち直すのに１手かかるので手損だ。果たしてどちらが得をしたのだろうか。

手数63: 穴熊をさらに引き締めた。

手数64: いったん歩を補充した。

手数68: 馬を引きつけて美濃囲いを強化した。穴熊にも負けない堅さだ。

手数69: 先手も馬を引きつける。

手数73: さらに歩を補充した。ただ、この位置だと△４二香から△４七香成の狙いが気になるが。

手数75: 手の渡し合いが続く。

手数76: ここで後手が動きを見せた。穴熊を正面から狙う端攻めの準備だ。

手数77: 後手が端なら、先手は８筋に香を打って対抗した。

手数78: 遠く離れた成桂の活用を目指した。この成桂が攻めに使えれば桂得が生きて来る。

手数79: 馬を出て後手陣をにらむ。次に▲６五銀が見えるが△５三桂があるのですぐには無理かもしれない。

手数80: 馬には馬で対抗。

手数81: 盤面の左側で駒がぶつかった。こうなると、本格的な戦いに発展していきそうだ。

手数82: 後手は香のロケットを設置した端から反撃に出る。

手数83: 先手も８筋に設置した香を生かして攻める。

手数84: ８筋を放置して踏み込んだ。穴熊の急所をついた攻めが炸裂するか。

手数85: 先手も後には引けないところ。攻め合いで勝負する。

手数88: ▲８三香成から攻め合いたいが、先手陣も△９七歩成がかなり厳しい攻めになる。へたに駒を渡すと致命傷になりかねない。

手数89: 踏み込んだ。

手数91: 守備力の高い馬の位置をずらしにいった。

手数92: 後手は堂々と応じる。

手数93: △８二同玉なら馬筋を生かした▲７五銀打が厳しい攻めになる。

手数94: 力強く香を放り込んだ。この瞬間は少し重いが、その分迫力がある。

手数96: 先手玉は△９八香成に▲同銀でも▲同金でも、絶対に詰まない格好だ。この瞬間に詰めろの連続で後手玉に迫ることができるかどうかだが。

