手数1:

手数2:

手数3:

手数4:

手数5:

手数7: 戦型は相掛かりになった。

手数9:

手数10:

手数14: 後手はこのタイミングで飛車先の歩を交換した。

手数15: 先手は玉を中住まいに構える。

手数16: 飛車を下段に引く。

手数20: 互いに駒組みを進める。

手数25: 先手も飛車先の歩を交換する。

手数27: 桂を跳ねたので飛車を手順に下段まで引くことができる。

手数30: 後手は腰掛け銀で対抗する。

手数31: 歩を突いて陣形を拡大する。

手数32: 後手は右銀を繰り出す積極的な指し回しを見せる。△７六銀〜△８七銀成となれば成功だ。

手数33: 金を上がって７六の歩を守る。

手数37: 先手は銀をぶつけた。

手数39: ５筋で銀交換になった。

手数40: 右桂を使っていくための準備である。

手数41: 先手は手持ちの銀を２五に打った。▲３四銀〜▲２三銀成が狙いだ。△３三銀には▲４五桂△４四銀に▲３四銀で攻めが続きそうだ。この筋は受けにくいようだ。部分的な受けはなさそうなので盤面全体を使って対応することになるだろうか。目標にされている角をさばく意味で△７五歩はあるかもしれない。以下▲３四銀に△７六歩▲７八金△８八角成▲同銀△２二銀とすれば２筋は受かりそうだ。確かに△７五歩はあるかもしれない。

手数42: 後手の指し手は△７五歩。やはり角をさばきにいく構想だった。

手数43: 先手は歩を取った。

手数44: 開けた空間に歩をたたく。▲７六同金は△８七飛成だ。

手数45: ▲６六金も△８七飛成があるため、金を引くしかない。

手数46: 目標にされていた角を交換した。

手数48: 銀を上がって２筋を受ける。

手数49: 打った銀で歩を取る。２筋が破れない代償に先手が２歩得になった。

手数50: 後手の指し手は△８四飛。次に△６五歩と突いて飛車の横利きで３四銀を追い払う手を見ている。

手数51: 先手は▲４五角と打った。▲２三銀成の一点狙いである。

手数52: 角を合わせて対抗する。▲２三銀成には△同銀▲同角成に△３六角が王手になる仕組み。以下▲４七銀に△２八歩▲同飛△２七銀で２筋を止めることができる。しかし、先手に何かありそうな気もする。

手数53: 先手の指し手は▲３五歩。歩を突いて銀を支える。

手数54: 後手は銀を２四に打って３五の歩を取りにいく。

手数55: 先手から角を交換した。

手数57: 先手の指し手は▲４七玉。玉自らで桂頭を守った。

手数58: △６五歩は飛車の横利きを通した手。３四銀にプレッシャーを掛ける。

手数59: 手筋の突き出し。△７四同飛は▲８三角△８四飛▲６五角成と馬を作ることができる。

手数60: 根元の歩を取った。△７四飛と△３六歩を見せる。

手数61: 歩を打って銀を追い払う。

手数63: ７八の金を６八に寄った。先手は陣形をどう整えるのか。構想力が問われる。

手数64: 金を引いて陣形を引き締める。

手数65: 天王山に角を据える。

手数66: 歩を打って▲９一角成を防ぐ。

手数67: 歩で銀を追う。△１三銀に▲７九飛と転回して▲７六飛を目指す。▲７九飛に△７四飛は▲８二角成と角を成り込むことができる。

手数69: やはりこの飛車回りがいい構想のようだ。８八銀が釘付けだが、後手も１三と２二の銀がダブっているので銀の関係はイーブンだろうか。

手数70: 後手の指し手は△７四飛。３四の銀取りになっている。

手数71: 銀取りを受けずに▲８二角成と角を成り込んだ。

手数72: 後手は銀を取った。

手数73: 先手は桂を取り返す。駒割は▲桂△銀で先手が損をしたが、馬を作った点、次に▲９一馬と香を取れば駒得になる点を先手は評価したのかもしれない。

手数74: 後手は銀取りに自陣角を据えた。

手数75: 飛車を浮いて銀取りを受ける。

手数76: 飛車の利きが消えたので△５九銀と割り打ちで攻める。

手数77: 守備金を消すわけにはいかない。

手数79: 金と銀が交換になった。先手は薄くなったが、６八の金がいなくなったことで飛車が楽になった意味もありそうだ。

手数80: 飛車のコビンを攻める。嫌みをつけにいく。

手数83: 歩を打って角を追う。この局面で後手が投了した。急転直下の終局となった。後手は角の逃げ場が難しいようだ。△３三角は▲４五桂△４四角▲５五歩△同角▲５四歩△同歩▲７一馬で後手は受けが難しそうだ。後手は２二と１三の銀がカベ銀の悪形で駒の効率がかなり悪い。

