手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は角換わりに決まった。

手数12: 現局面から▲２四歩△同歩▲同飛には、△３五角がある。

手数14: １筋の突き合いが入った。

手数16: 代えて△３三銀として２筋を守っておくのも自然だったが、△７二銀と上がった。

手数18:

手数19: ▲２四歩と突いた。

手数21:

手数22:

手数23: 合わせの角で応じる。現局面から△７七角成▲同桂△８六歩▲同歩△同飛の強攻には、▲６四角△８九飛成▲６五桂で先手が指せるか。

手数24: 角交換を拒否。

手数25: 自陣左辺をカバーする金上がり。△８六歩▲同歩△８八歩を防いだ意味がある。

手数26: ６四歩を守りつつ、８二飛の横利きを通す。

手数27: ５筋の歩を突いて、４六角の動きを楽にした。

手数28: ６四歩を守ることにはこだわらず、右銀をさらに前進。▲６四角には、△６二飛〜△６五銀というように先手の角を目標にしながら攻めの態勢を整える指し方が考えられそうだ。

手数29: 堂々と相手の誘いに乗った。

手数30: △４五銀は先手に角を４六に引かれる手を消しつつ、５六歩や３六歩を狙った。

手数31: 先手も銀を前に繰り出して対抗する。

手数32: 代えて△５六銀もありそうだったが、６三に歩を打って先手の角を追った。対して仮に▲２八角なら、△２三銀から先手の飛車が捕まる。

手数33: 代えて▲５五角との比較は難しそうなところだった。現局面で△３六銀ならそこで▲５五角と出れば、後手の銀をソッポに出させただけ得と見ているのだろう。

手数34: ３六歩も５六歩も取らず、じっと飛車先の歩を切りにいった。

手数38:

手数39: 自然に駒を前に使っておく。

手数42: △２三銀〜△３六銀と、後手は先手の大駒を目標にしながら攻め手を作りに出た。

手数43: 穏やかに▲４六角と出る。代えて▲５五角とぶつけていくのもあっただろう。

手数44: この歩を▲２七同銀と取らせれば、３六銀を４七に滑り込むことができる。

手数45: 飛車を逃げて我慢した。しかし、△２七歩の一発が入ったのは、後手にとって大きそうだ。

手数46: 先手からの▲２四歩を防ぎつつ、△３四銀と出る手を可能にする。

手数47: ここで先手が前に出た。後手の角を４四からどかせば、３五の歩が取れる。

手数50: じっと５三の地点を守る。３五歩を取られた後手だが、３五の角は自身の銀の目標にできそうなので、歩損は気にならないということかもしれない。

手数51: すぐに▲５八金が指された。この手は玉頭をケアした意味だろうか。

手数52: ８筋に歩を合わせる。▲８六同歩△同飛▲８七歩に△７六飛で横歩を取る筋が利きそうだ。

手数57: △５六飛の転回を防ぐべく▲６六銀と引く手もありそうなところだったが、じっと居玉を解消した。

手数58: 銀の裏に飛車を回り込む。５２手目の△８六歩の合わせから、後手にとって気分のよさそうな順になっている。

手数60:

手数61: 代えて▲６八角は、どこかで△６六角と切ってこられる筋が気になったのかもしれない。

手数62: 飛車を引き揚げて、一呼吸ついた。

手数63: ２筋に嫌みをつけておく。ともに見慣れない形で、局面の勘所をつかむのが難しそうだ。

手数64: 居玉を解消して、手を渡した。

手数65: 中途半端な駒になっている右銀をさばきにいった。

手数68: 相手の手に乗りつつ、桂を捕獲する。現局面で▲３五歩には△２四角▲３四歩△５七角成▲同金△３七歩成で、後手のと金が大きそうだ。

手数69: 後手の飛車にからんでいく。仮に△４五同銀なら▲同桂で、桂を逃げることができて都合がよい。

手数70: ５四の飛車は見捨てて、と金を作った。

手数72: 飛車を取られた後手だが、次に手番がくれば、△２八歩成から飛車を取り返すことができる。

手数73:

手数74: 持ち駒の銀を使って、がっちり受ける。代えて△２八歩成として、▲２一飛成には△３一歩と打つ姿勢でいくのもあっただろう。

手数76: これで先手の飛車は捕まった形。

手数77: 歩を巧みに使って、攻め手を紡ぐ。△７二同金には▲５三桂が厳しそうだ。

手数78: ▲２一竜は甘受して、と金作りを防ぐ。

手数80: 後手のこの金底の歩の耐久力に期待だ。

手数81: この▲２三歩成に代えて▲３五歩は攻めとして遅く、△４五桂▲６八角△１八と▲３四歩△６六角▲同歩△５七銀というようにどんどん踏み込まれて、先手がまずかったか。

手数83: 後手の左銀の位置をずらして、▲４五桂と打った。仮に３三角を逃げれば、▲３三歩の追撃がある。

手数84: 先手の竜を捕獲して抵抗。

手数87: 桂２枚で相手玉頭を狙う格好になった。次は▲５三銀がすこぶる厳しい。

手数90: 飛車の王手を決めて先手に歩を使わせてから、５三の地点を受けた。

手数91: 構わずに踏み込んでいく。△５三同桂に▲同桂左成△同金▲同桂成△同玉▲４五桂で、先手の攻めは途切れない形か。

手数99: どんどん手が進む。

手数101: ここで角を補充できるのは大きい。

手数103: 急所を捉えた角打ち。３三金に当てつつ、▲８四桂を狙っている。

手数104: 開き直って、飛車を取る。

手数105: この▲８四桂は、▲６二角成△８二玉▲７二馬までの詰めろだ。

手数108: 代えて△７二同銀は以下▲６二金△８一玉▲８四銀（▲７二金以下の詰めろ）が進行の一例で、後手がつらそうだった。

手数109: 腹銀でからんで、▲７三銀成や▲６一銀不成を見せる。後手玉は受け方が難しくなってきた。先手玉のほうは、△８九飛と打たれても▲７九金でまだ安全だ。

手数113: この局面で後手が投了した。後手はすでに攻防ともに見込みがない。

