手数1:

手数2:

手数3:

手数4:

手数5:

手数15: 戦型は横歩取りになった。

手数19: 先手は青野流を採用した。

手数23: 飛車交換の決戦になった。

手数25: 先手はタイミングよく▲４五桂から後手玉に襲いかかるのが理想形だ。

手数26: ▲８六同角は△９九角成なので、この歩は取れない。

手数30:

手数31: ▲４六歩は△同角と取らせてから▲３八銀とし、後に▲４四歩からの味つけを狙う意味か。

手数32:

手数33: △１九飛成には▲４五桂が予想される。

手数34: △３三桂は▲４五桂を牽制する、自然な一着だ。

手数35: △７二銀には、▲７四角成が▲５三桂成△同角▲２九馬と▲７三歩の狙いになっている。

手数36: 香を取りながら、▲７四角成から飛車を狙われないようにした。

手数37: 後手の飛車が２筋から離れたタイミングで、敵陣に飛車を打ち込む。次に▲２三歩が▲２二歩成△同銀▲６一角成の狙いになる。後手は△４六角と出ると、▲５三桂成△同玉▲６一角成とされてしまうので、８三の角をどかすか△５一金とかわさないと角を出られない。

手数38: 角に働きかけた。▲７四角成△７三歩▲８五馬と進めば、△４六角と出られる。

手数41: ８五に馬がいれば、△４六角▲４八銀に△６四歩と突かれない。

手数42: 竜を引く。▲４八銀に△４六角が△３七角成の先手だ。

手数43: 金を上がって受ける。玉から金が離れるが、このほうが３筋の壁ができて竜の横利きに強いという意味なのか。ひとまず注目したいのは、△４六角から△３七角成の受けである。

手数45: 力強く、玉を上がって△３七角成を受けた。

手数46: 先手は△４四香を狙われて気持ち悪い。

手数47: ヘルメットを被せた。それでも△４四香にはどう受けるのか。▲５八玉△４六角▲２八金△１九竜▲２九歩と、飛車と金底の歩でしのぐつもりなのか。

手数48: △６二玉と早逃げした。

手数52: ３筋に味をつけてから、歩を補充する。△１六竜から△３六歩が実現すれば、先手玉に迫りやすい。

手数53: じわっと竜を２筋に移動させた。これは▲２八竜や▲２四竜から使うつもりか。

手数54: 竜の利きを遮って、△３六歩▲同玉△２六竜の狙いを秘めている。現局面で▲３四歩は△４五桂▲同歩△３六歩の切り返しがあるので、「敵の打ちたいところに打て」の▲３六香から▲３四歩が明快か。

手数55: 攻防手を放つ。

手数56: ▲３四歩が着実な攻めなので、その前に後手は先手玉に迫らないとまずい。

手数59: 「やってこい」の▲３四歩。自玉の距離感を見きっていないと指せない。△４六香▲５八玉△３六竜▲３三歩成△同竜に▲４五桂打がきつそうだ。

手数64: これはすさまじい。狭い場所に香の重ね打ちは非常に珍しい。

手数67: ▲４九歩から▲４七歩はからい受け。後手は香を取られると、攻めが一気に細くなる。

手数71: この局面で後手が投了した。△３八成香に▲３一竜が▲５二金△７一玉▲６一金△同銀▲８三桂からの詰めろになっている。

